HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,time
,,0.01880829808487166,0.02420195168265586,0.001827218957967323,0.04483746872549484,0.7771397254028268,0.419477250154783,0.5397706955944748,-3.7213220010277444,0.0
,,0.01880829808487166,0.02420195168265586,0.001827218957967323,0.04483746872549484,0.7771397254028268,0.419477250154783,0.5397706955944748,-3.7213220010277444,0.1
,,0.01880829808487166,0.02420195168265586,0.001827218957967323,0.04483746872549484,0.7771397254028268,0.419477250154783,0.5397706955944748,-3.7213220010277444,0.2
,,0.01880829808487166,0.02420195168265586,0.001827218957967323,0.04483746872549484,0.7771397254028268,0.419477250154783,0.5397706955944748,-3.7213220010277444,0.3
,,0.01880829808487166,0.02420195168265586,0.001827218957967323,0.04483746872549484,0.7771397254028268,0.419477250154783,0.5397706955944748,-3.7213220010277444,0.4
,,0.01893352656832321,0.027836440390431233,0.0022728556737798213,0.04904282263253427,0.7609781937616348,0.3860611105153437,0.5675945815558536,-3.581409311229754,0.5
,,0.01893352656832321,0.027836440390431233,0.0022728556737798213,0.04904282263253427,0.7494342425893546,0.3860611105153437,0.5675945815558536,-3.581409311229754,0.6
,,0.01893352656832321,0.027836440390431233,0.0022728556737798213,0.04904282263253427,0.7407762792101446,0.3860611105153437,0.5675945815558536,-3.581409311229754,0.7
,,0.01893352656832321,0.027836440390431233,0.0022728556737798213,0.04904282263253427,0.7340423076929812,0.3860611105153437,0.5675945815558536,-3.581409311229754,0.8
,,0.018461616358199304,0.027019121228320675,0.0023168103055369767,0.04779754789205695,0.7289660443738175,0.3862460978101196,0.5652825807997306,-3.611210469987086,0.9
,,0.018461616358199304,0.027019121228320675,0.0023168103055369767,0.04779754789205695,0.7248127380217744,0.3862460978101196,0.5652825807997306,-3.611210469987086,1.0
,,0.018461616358199304,0.027019121228320675,0.0023168103055369767,0.04779754789205695,0.7213516493950719,0.3862460978101196,0.5652825807997306,-3.611210469987086,1.1
,,0.018461616358199304,0.027019121228320675,0.0023168103055369767,0.04779754789205695,0.7184230359417081,0.3862460978101196,0.5652825807997306,-3.611210469987086,1.2
,,0.018461616358199304,0.027019121228320675,0.0023168103055369767,0.04779754789205695,0.7159127958388251,0.3862460978101196,0.5652825807997306,-3.611210469987086,1.3
,,,0.025122330136568116,0.0019875112583044212,0.027109841394872537,0.7159127958388251,,0.9266867249662208,-3.683998181470403,1.4
,,,0.025122330136568116,0.0019875112583044212,0.027109841394872537,0.7159127958388251,,0.9266867249662208,-3.683998181470403,1.5
,,,0.025122330136568116,0.0019875112583044212,0.027109841394872537,0.7159127958388251,,0.9266867249662208,-3.683998181470403,1.6
,,,0.025122330136568116,0.0019875112583044212,0.027109841394872537,0.7159127958388251,,0.9266867249662208,-3.683998181470403,1.7
,,0.018145028788272927,0.02699782121483995,0.0023264812780060483,0.04746933128111892,0.7129914320003989,0.3822474068744712,0.5687423961158353,-3.6119991119805532,1.8
,,0.018145028788272927,0.02699782121483995,0.0023264812780060483,0.04746933128111892,0.7104352386417762,0.3822474068744712,0.5687423961158353,-3.6119991119805532,1.9
,,0.018145028788272927,0.02699782121483995,0.0023264812780060483,0.04746933128111892,0.7081797739135796,0.3822474068744712,0.5687423961158353,-3.6119991119805532,2.0
,,0.018145028788272927,0.02699782121483995,0.0023264812780060483,0.04746933128111892,0.7061749163774048,0.3822474068744712,0.5687423961158353,-3.6119991119805532,2.1
,,0.018171298694467732,0.02725697556127659,0.002289881357237301,0.04771815561298162,0.7040954993879199,0.3808047159627492,0.571207650654909,-3.602445806731114,2.2
,,0.018145028788272927,0.02699782121483995,0.0023264812780060483,0.04746933128111892,0.7024953413316457,0.3822474068744712,0.5687423961158353,-3.6119991119805532,2.3
,,0.018850387038839556,0.025505266952565747,0.002015442787148732,0.046371096778554034,0.704237382685538,0.40651156320196397,0.5500250958989947,-3.668870300986243,2.4
,,0.018850387038839556,0.025505266952565747,0.002015442787148732,0.046371096778554034,0.705821056643622,0.40651156320196397,0.5500250958989947,-3.668870300986243,2.5
,,0.018850387038839556,0.025505266952565747,0.002015442787148732,0.046371096778554034,0.7072670198227423,0.40651156320196397,0.5500250958989947,-3.668870300986243,2.6
,,0.017738700336765213,0.024549861367236758,0.0018503814059802122,0.04413894310998218,0.7079041467241987,0.4018832143888271,0.5561950431405939,-3.7070490717132847,2.7
,,0.017738700336765213,0.024549861367236758,0.0018503814059802122,0.04413894310998218,0.7084903034735386,0.4018832143888271,0.5561950431405939,-3.7070490717132847,2.8
,,0.017738700336765213,0.024549861367236758,0.0018503814059802122,0.04413894310998218,0.70903137124216,0.4018832143888271,0.5561950431405939,-3.7070490717132847,2.9
,,0.017738700336765213,0.024549861367236758,0.0018503814059802122,0.04413894310998218,0.7095323599168095,0.4018832143888271,0.5561950431405939,-3.7070490717132847,3.0
,,0.017738700336765213,0.024549861367236758,0.0018503814059802122,0.04413894310998218,0.7099975636861268,0.4018832143888271,0.5561950431405939,-3.7070490717132847,3.1
,,0.017738700336765213,0.024549861367236758,0.0018503814059802122,0.04413894310998218,0.7104306844368706,0.4018832143888271,0.5561950431405939,-3.7070490717132847,3.2
,,,0.02733368819449035,0.0021974642072048224,0.02953115240169517,0.7104306844368706,,0.9255882676939258,-3.5996353377450117,3.3
,,,0.02733368819449035,0.0021974642072048224,0.02953115240169517,0.7104306844368706,,0.9255882676939258,-3.5996353377450117,3.4
